Sucursal_Oficial,Sueldo_Normalizado
"230-Ushuaia",103272
"376-Dep.Bridgestone Argentina",73800
"160-Lavalle",13000
"255-Bariloche",35633
"264-Choele Choel",20998
"252-S. Antonio Oeste",16460
"110-Saenz Pena",25996
"223-Rio Gallegos",41737
"220-Gral. Roca",39030
"220-Gral. Roca",42264
"220-Gral. Roca",5074
"278-Roca Centro",42462
"255-Bariloche",36357
"220-Gral. Roca",14275
"220-Gral. Roca",26619
"220-Gral. Roca",125800
"367-Lamarque",15747
"250-Viedma",38917
"220-Gral. Roca",15647
"220-Gral. Roca",21903
"253-Villa Regina",82524
"060-Mendoza",15034
"001-Areas Centrales",16701
"010-Casa Central",37396
"070-Cordoba",30216
"298-Ezeiza",26315
"376-Dep.Bridgestone Argentina",42616
"267-Puerto Deseado",7985
"301-Neuquen Sur",29088
"056-Pueyrredon",32527
"214-Posadas",27956
"295-Moreno",45002
"001-Areas Centrales",24781
"218-Corrientes",15631
"040-Monte Grande",20657
"010-Casa Central",38250
"220-Gral. Roca",37277
"329-Panamericana",78447
"026-Villa Luro",73647
"324-Calle Florida",21000
"280-Rio Cuarto",32043
"250-Viedma",36598
"250-Viedma",42843
"220-Gral. Roca",30938
"252-S. Antonio Oeste",10914
"128-Moron",23002
"223-Rio Gallegos",37163
"290-Mar del Plata Pu",20250
"147-Cabildo",10987
"024-P. Centenario",17935
"381-Jose C. Paz",46025
"230-Ushuaia",26995
"361-Carmen de Patagones",40828
"351-M del Plata-Luro",52998
"223-Rio Gallegos",9709
"251-Cipolletti",24707
"080-Rosario",4592
"296-Rosario Sur",21636
"344-Berazategui",6338
"147-Cabildo",16178
"103-Boedo",22857
"223-Rio Gallegos",22825
"263-El Bolsón",36897
"029-Villa Urquiza",15015
"131-Quilmes",21125
"147-Cabildo",8796
"106-Botanico",26500
"299-Viedma Centro",45710
"361-Carmen de Patagones",48074
"265-Allen",21967
"265-Allen",42161
"029-Villa Urquiza",46617
"010-Casa Central",300
"022-Flores",17904
"220-Gral. Roca",64866
"143-San Miguel",19894
"147-Cabildo",13081
"292-Bariloche Onelli",30845
"133-Av.Entre Rios",36898
"147-Cabildo",14915
"022-Flores",58766
"147-Cabildo",17842
"292-Bariloche Onelli",28740
"292-Bariloche Onelli",26868
"117-Malabia",12496
"223-Rio Gallegos",32693
"361-Carmen de Patagones",27071
"333-Ramos Mejia",24019
"220-Gral. Roca",36221
"292-Bariloche Onelli",7568
"147-Cabildo",16829
"053-Bahia Blanca",34642
"298-Ezeiza",25793
"250-Viedma",32495
"261-Ing. Jacobacci",10000
"299-Viedma Centro",34043
"287-Punta Alta",79470
"221-La Rioja",5512
"147-Cabildo",15984
"001-Areas Centrales",15652
"048-Lomas de Zamora",23336
"207-Parana",34974
"207-Parana",30126
"144-Martinez",32452
"329-Panamericana",59795
"131-Quilmes",7496
"053-Bahia Blanca",31752
"315-Barracas",25898
"147-Cabildo",12201
"357-Tres Arroyos",28652
"309-Suc. Paso de los Libres",8823
"302-Vicente López",12542
"230-Ushuaia",8562
"060-Mendoza",32104
"163-Zarate",8056
"147-Cabildo",16608
"220-Gral. Roca",19003
"367-Lamarque",16031
"281-Rio Grande",24773
"290-Mar del Plata Pu",16347
"264-Choele Choel",6460
"224-Catamarca",7559
"259-General Conesa",33713
"259-General Conesa",38713
"292-Bariloche Onelli",24989
"326-San Isidro",54400
"100-Microcentro",32810
"324-Calle Florida",42938
"371-Colonia Caroya",12834
"361-Carmen de Patagones",133922
"117-Malabia",62156
"255-Bariloche",6829
"206-La Plata",18316
"292-Bariloche Onelli",66919
"001-Areas Centrales",13857
"163-Zarate",21982
"315-Barracas",23036
"010-Casa Central",26516
"292-Bariloche Onelli",36672
"205-Mar del Plata",32649
"026-Villa Luro",19307
"290-Mar del Plata Pu",52345
"020-Abasto",20715
"278-Roca Centro",76746
"261-Ing. Jacobacci",23054
"043-Tigre",27093
"258-Río Colorado",30915
"220-Gral. Roca",34352
"027-Av. San Juan",27288
"147-Cabildo",18119
"258-Río Colorado",18530
"258-Río Colorado",24241
"250-Viedma",26187
"278-Roca Centro",36560
"251-Cipolletti",8092
"251-Cipolletti",43350
"250-Viedma",47698
"303-Cipolletti Esmeralda",22604
"256-Cinco Saltos",27323
"317-Calle Tucuman",18121
"335-Cerrito",19656
"043-Tigre",26460
"010-Casa Central",30952
"060-Mendoza",17474
"060-Mendoza",24736
"060-Mendoza",22352
"200-Congreso",27246
"208-Resistencia",13462
"250-Viedma",25775
"299-Viedma Centro",69617
"299-Viedma Centro",23548
"250-Viedma",105559
"250-Viedma",18974
"250-Viedma",73832
"250-Viedma",26514
"299-Viedma Centro",11510
"250-Viedma",30772
"259-General Conesa",15861
"250-Viedma",22617
"250-Viedma",23884
"361-Carmen de Patagones",31543
"261-Ing. Jacobacci",27504
"250-Viedma",25704
"257-Catriel",53730
"147-Cabildo",12288
"299-Viedma Centro",47265
"220-Gral. Roca",38786
"278-Roca Centro",35427
"220-Gral. Roca",43760
"263-El Bolsón",44807
"286-Villa Mercedes",44000
"236-Liniers",28737
"010-Casa Central",11884
"147-Cabildo",14541
"311-Almagro",18264
"080-Rosario",57873
"383-Alto Bariloche",35919
"324-Calle Florida",45210
"303-Cipolletti Esmeralda",25397
"306-Concepcion del Uruguay",15178
"308-Suc. La Plata - Calle 44",15028
"252-S. Antonio Oeste",65990
"264-Choele Choel",48410
"024-P. Centenario",1360
"103-Boedo",18490
"329-Panamericana",42172
"361-Carmen de Patagones",35815
"080-Rosario",129326
"145-San Martin",12052
"143-San Miguel",14287
"367-Lamarque",12500
"336-Luján de Cuyo",7000
"214-Posadas",47166
"103-Boedo",21417
"344-Berazategui",17044
"361-Carmen de Patagones",45451
"297-Comodoro Industrial",19075
"223-Rio Gallegos",68286
"326-San Isidro",34961
"264-Choele Choel",49279
"305-Corrientes 3 de Abril",16527
"216-Salta",31828
"265-Allen",27624
"251-Cipolletti",38949
"220-Gral. Roca",6500
"230-Ushuaia",30750
"220-Gral. Roca",72399
"080-Rosario",34265
"060-Mendoza",52973
"160-Lavalle",11219
"373-Gualeguaychu",16192
"294-Sierra Grande",75027
"282-Av. Fuerza Aerea",26606
"010-Casa Central",29170
"306-Concepcion del Uruguay",17777
"272-Caleta Olivia",47146
"147-Cabildo",14172
"258-Río Colorado",37517
"351-M del Plata-Luro",43122
"337-Tribunales",23932
"301-Neuquen Sur",36283
"043-Tigre",33204
"309-Suc. Paso de los Libres",9622
"214-Posadas",21826
"143-San Miguel",24479
"285-Formosa",56113
"310-Suc. Catalinas",41148
"001-Areas Centrales",4587
"050-Campana",17594
"311-Almagro",12405
"263-El Bolsón",52375
"257-Catriel",52135
"255-Bariloche",46729
"119-Once",23048
"310-Suc. Catalinas",42094
"256-Cinco Saltos",30184
"292-Bariloche Onelli",31940
"250-Viedma",12396
"207-Parana",44577
"250-Viedma",20839
"253-Villa Regina",24548
"253-Villa Regina",26344
"010-Casa Central",62036
"267-Puerto Deseado",6106
"282-Av. Fuerza Aerea",25384
"057-Pilar",8284
"048-Lomas de Zamora",21676
"297-Comodoro Industrial",32041
"255-Bariloche",154214
"287-Punta Alta",30084
"223-Rio Gallegos",43132
"255-Bariloche",29970
"080-Rosario",27887
"264-Choele Choel",40599
"224-Catamarca",5471
"251-Cipolletti",33160
"250-Viedma",40149
"292-Bariloche Onelli",22244
"383-Alto Bariloche",25305
"060-Mendoza",29199
"010-Casa Central",24967
"286-Villa Mercedes",31865
"128-Moron",32340
"026-Villa Luro",33667
"200-Congreso",55942
"280-Rio Cuarto",39402
"292-Bariloche Onelli",42088
"010-Casa Central",21088
"103-Boedo",22177
"257-Catriel",32660
"147-Cabildo",21055
"329-Panamericana",27652
"280-Rio Cuarto",45726
"263-El Bolsón",32606
"133-Av.Entre Rios",54586
"160-Lavalle",63362
"024-P. Centenario",60958
"023-Irigoyen",28125
"160-Lavalle",26068
"217-Cdoro Rivadavia",56256
"060-Mendoza",5827
"288-Puerto Madryn",70034
"308-Suc. La Plata - Calle 44",13602
"250-Viedma",100890
"220-Gral. Roca",13687
"250-Viedma",62716
"060-Mendoza",49549
"357-Tres Arroyos",16376
"214-Posadas",24631
"265-Allen",20336
"265-Allen",27875
"106-Botanico",31363
"200-Congreso",82747
"255-Bariloche",28866
"220-Gral. Roca",1073
"147-Cabildo",19358
"292-Bariloche Onelli",32259
"333-Ramos Mejia",85194
"256-Cinco Saltos",19519
"308-Suc. La Plata - Calle 44",11810
"070-Cordoba",38796
"282-Av. Fuerza Aerea",39354
"282-Av. Fuerza Aerea",30000
"282-Av. Fuerza Aerea",40046
"056-Pueyrredon",39693
"250-Viedma",33829
"299-Viedma Centro",25376
"299-Viedma Centro",90152
"250-Viedma",50517
"278-Roca Centro",32580
"250-Viedma",20815
"292-Bariloche Onelli",33455
"263-El Bolsón",41092
"316-Belgrano",20000
"310-Suc. Catalinas",16732
"046-Avellaneda",8825
"261-Ing. Jacobacci",20927
"261-Ing. Jacobacci",2100
"292-Bariloche Onelli",29856
"147-Cabildo",18725
"070-Cordoba",18150
"020-Abasto",6975
"257-Catriel",24092
"214-Posadas",8682
"282-Av. Fuerza Aerea",31942
"045-San Nicolas",31998
"217-Cdoro Rivadavia",2755
"147-Cabildo",17096
"250-Viedma",27585
"143-San Miguel",14753
"147-Cabildo",15326
"143-San Miguel",36108
"206-La Plata",168234
"210-San Juan",15734
"060-Mendoza",39289
"258-Río Colorado",125830
"228-Santa Rosa",16211
"080-Rosario",52699
"362-RAWSON",20193
"203-Santa Fe",22399
"147-Cabildo",20582
"292-Bariloche Onelli",26583
"200-Congreso",15642
"128-Moron",21034
"027-Av. San Juan",40263
"046-Avellaneda",36857
"250-Viedma",86594
"315-Barracas",57671
"207-Parana",21906
"022-Flores",20000
"218-Corrientes",21847
"040-Monte Grande",72839
"020-Abasto",49694
"362-RAWSON",39311
"053-Bahia Blanca",16647
"280-Rio Cuarto",26868
"264-Choele Choel",12252
"080-Rosario",28826
"070-Cordoba",8344
"307-Ferreyra",38157
"056-Pueyrredon",28455
"292-Bariloche Onelli",16516
"317-Calle Tucuman",19780
"223-Rio Gallegos",29069
"047-Haedo",20490
"212-Neuquen",32623
"160-Lavalle",31838
"030-Libertador",39649
"251-Cipolletti",12618
"383-Alto Bariloche",20013
"255-Bariloche",48208
"292-Bariloche Onelli",31345
"212-Neuquen",21616
"292-Bariloche Onelli",31802
"256-Cinco Saltos",26200
"292-Bariloche Onelli",12017
"146-Clinicas",21754
"104-Mataderos",27313
"255-Bariloche",26124
"292-Bariloche Onelli",31795
"024-P. Centenario",43790
"220-Gral. Roca",15036
"361-Carmen de Patagones",10479
"043-Tigre",4128
"147-Cabildo",14468
"147-Cabildo",12818
"101-Caballito",29930
"292-Bariloche Onelli",48665
"142-Lanus Oeste",22363
"255-Bariloche",161952
"020-Abasto",24213
"286-Villa Mercedes",32103
"210-San Juan",39771
"299-Viedma Centro",43515
"257-Catriel",45212
"070-Cordoba",19815
"001-Areas Centrales",22477
"100-Microcentro",28670
"278-Roca Centro",77445
"228-Santa Rosa",52524
"255-Bariloche",5445
"131-Quilmes",26960
"227-Jujuy",6460
"211-Tucuman",21097
"160-Lavalle",42322
"367-Lamarque",33961
"251-Cipolletti",9450
"251-Cipolletti",24745
"251-Cipolletti",21696
"251-Cipolletti",7000
"251-Cipolletti",25959
"299-Viedma Centro",13908
"251-Cipolletti",27419
"050-Campana",11110
"207-Parana",26189
"207-Parana",34124
"103-Boedo",14457
"010-Casa Central",48504
"255-Bariloche",30800
"080-Rosario",20763
"251-Cipolletti",39373
"057-Pilar",8416
"026-Villa Luro",11525
"261-Ing. Jacobacci",17325
"223-Rio Gallegos",38851
"044-Villa Ballester",26980
"261-Ing. Jacobacci",28064
"292-Bariloche Onelli",18655
"316-Belgrano",19641
"252-S. Antonio Oeste",45883
"253-Villa Regina",41683
"116-Olleros",1386
"299-Viedma Centro",12226
"207-Parana",42263
"278-Roca Centro",160227
"214-Posadas",15988
"220-Gral. Roca",24255
"250-Viedma",49510
"115-Paseo Colon",42584
"104-Mataderos",30130
"147-Cabildo",19453
"220-Gral. Roca",154146
"252-S. Antonio Oeste",16677
"253-Villa Regina",27226
"220-Gral. Roca",48240
"145-San Martin",18331
"264-Choele Choel",86487
"294-Sierra Grande",27971
"253-Villa Regina",21060
"256-Cinco Saltos",20381
"310-Suc. Catalinas",34902
"326-San Isidro",53582
"147-Cabildo",16600
"147-Cabildo",42960
"041-Munro",108873
"383-Alto Bariloche",34692
"057-Pilar",34510
"251-Cipolletti",32827
"263-El Bolsón",65132
"218-Corrientes",12999
"251-Cipolletti",38564
"316-Belgrano",20021
"100-Microcentro",6081
"116-Olleros",1829
"144-Martinez",11152
"047-Haedo",31443
"295-Moreno",64500
"341-Villa María",5788
"282-Av. Fuerza Aerea",36504
"701-ALTA RENTA PERON",186677
"251-Cipolletti",41418
"080-Rosario",6392
"315-Barracas",48406
"010-Casa Central",34014
"383-Alto Bariloche",35869
"264-Choele Choel",75669
"292-Bariloche Onelli",25211
"383-Alto Bariloche",17419
"306-Concepcion del Uruguay",21713
"220-Gral. Roca",111322
"147-Cabildo",17726
"057-Pilar",14333
"265-Allen",15000
"265-Allen",25012
"293-Calafate",88388
"220-Gral. Roca",18179
"301-Neuquen Sur",17802
"253-Villa Regina",21414
"308-Suc. La Plata - Calle 44",18250
"290-Mar del Plata Pu",24327
"221-La Rioja",13307
"221-La Rioja",3368
"278-Roca Centro",30628
"305-Corrientes 3 de Abril",22725
"305-Corrientes 3 de Abril",13179
"297-Comodoro Industrial",22934
"131-Quilmes",12958
"010-Casa Central",26726
"115-Paseo Colon",15275
"297-Comodoro Industrial",19476
"292-Bariloche Onelli",35026
"203-Santa Fe",30866
"220-Gral. Roca",40031
"056-Pueyrredon",29740
"119-Once",40059
"252-S. Antonio Oeste",41999
"252-S. Antonio Oeste",21885
"301-Neuquen Sur",31943
"353-Reconquista",47496
"146-Clinicas",73454
"104-Mataderos",54657
"312-Avenida Callao",0
"316-Belgrano",24252
"290-Mar del Plata Pu",42182
"297-Comodoro Industrial",63550
"352-Chivilcoy",34372
"315-Barracas",71343
"296-Rosario Sur",13410
"373-Gualeguaychu",12986
"339-Tortuguitas",27993
"200-Congreso",6430
"264-Choele Choel",34137
"223-Rio Gallegos",40472
"275-Esquel",25123
"256-Cinco Saltos",40177
"070-Cordoba",12320
"256-Cinco Saltos",31656
"299-Viedma Centro",36221
"256-Cinco Saltos",24074
"256-Cinco Saltos",18215
"255-Bariloche",37464
"112-Alvarez Jonte",31349
"043-Tigre",12645
"220-Gral. Roca",16537
"217-Cdoro Rivadavia",36175
"293-Calafate",62461
"020-Abasto",33995
"160-Lavalle",40316
"299-Viedma Centro",37034
"220-Gral. Roca",13807
"250-Viedma",30330
"257-Catriel",26730
"317-Calle Tucuman",26400
"056-Pueyrredon",23661
"383-Alto Bariloche",49606
"365-San Francisco",19692
"280-Rio Cuarto",38248
"307-Ferreyra",30000
"264-Choele Choel",40020
"220-Gral. Roca",29664
"147-Cabildo",12279
"261-Ing. Jacobacci",118190
"228-Santa Rosa",29957
"251-Cipolletti",9519
"259-General Conesa",28541
"210-San Juan",20576
"043-Tigre",21915
"339-Tortuguitas",33091
"250-Viedma",6536
"257-Catriel",21023
"257-Catriel",45062
"292-Bariloche Onelli",21095
"255-Bariloche",14554
"253-Villa Regina",42602
"160-Lavalle",22441
"001-Areas Centrales",6113
"263-El Bolsón",22809
"383-Alto Bariloche",28750
"310-Suc. Catalinas",1985
"329-Panamericana",7547
"147-Cabildo",8077
"147-Cabildo",7066
"306-Concepcion del Uruguay",26118
"117-Malabia",21817
"281-Rio Grande",49486
"147-Cabildo",22664
"362-RAWSON",20438
"001-Areas Centrales",6413
"208-Resistencia",4906
"212-Neuquen",42378
"281-Rio Grande",77313
"367-Lamarque",15000
"255-Bariloche",26219
"227-Jujuy",6264
"337-Tribunales",41633
"225-San Luis",8524
"360-Orono",22761
"253-Villa Regina",36351
"263-El Bolsón",23124
"292-Bariloche Onelli",28087
"292-Bariloche Onelli",45536
"223-Rio Gallegos",200
"024-P. Centenario",14931
"250-Viedma",31939
"299-Viedma Centro",30272
"299-Viedma Centro",33901
"361-Carmen de Patagones",29648
"207-Parana",43501
"160-Lavalle",38908
"147-Cabildo",16963
"280-Rio Cuarto",18604
"236-Liniers",23097
"046-Avellaneda",37184
"163-Zarate",14349
"133-Av.Entre Rios",1377
"701-ALTA RENTA PERON",92061
"283-Tandil",17543
"080-Rosario",6499
"310-Suc. Catalinas",60423
"282-Av. Fuerza Aerea",43947
"282-Av. Fuerza Aerea",42994
"105-Tapiales",13903
"297-Comodoro Industrial",30316
"283-Tandil",40735
"010-Casa Central",26609
"147-Cabildo",13096
"383-Alto Bariloche",10965
"255-Bariloche",11832
"220-Gral. Roca",22660
"250-Viedma",17195
"252-S. Antonio Oeste",28454
"278-Roca Centro",104495
"252-S. Antonio Oeste",35583
"267-Puerto Deseado",67132
"224-Catamarca",100093
"220-Gral. Roca",42300
"256-Cinco Saltos",25359
"376-Dep.Bridgestone Argentina",31306
"043-Tigre",11809
"024-P. Centenario",40943
"282-Av. Fuerza Aerea",12361
"144-Martinez",17675
"345-Adrogue",43141
"288-Puerto Madryn",10673
"115-Paseo Colon",21291
"329-Panamericana",27829
"133-Av.Entre Rios",87430
"256-Cinco Saltos",19153
"253-Villa Regina",17213
"001-Areas Centrales",12412
"255-Bariloche",88326
"258-Río Colorado",30768
"230-Ushuaia",5132
"251-Cipolletti",38713
"220-Gral. Roca",33211
"251-Cipolletti",64192
"261-Ing. Jacobacci",17154
"373-Gualeguaychu",13521
"344-Berazategui",6518
"290-Mar del Plata Pu",99866
"220-Gral. Roca",15779
"044-Villa Ballester",23469
"362-RAWSON",37018
"147-Cabildo",14987
"105-Tapiales",79085
"345-Adrogue",13888
"080-Rosario",26888
"263-El Bolsón",16253
"701-ALTA RENTA PERON",4713312
"299-Viedma Centro",36955
"363-PLOTTIER",119386
"356-Chilecito",17952
"283-Tandil",33985
"070-Cordoba",43862
"250-Viedma",9720
"299-Viedma Centro",26609
"299-Viedma Centro",16280
"255-Bariloche",27587
"212-Neuquen",19078
"252-S. Antonio Oeste",42579
"207-Parana",19936
"207-Parana",15370
"272-Caleta Olivia",44486
"048-Lomas de Zamora",14093
"292-Bariloche Onelli",14190
"292-Bariloche Onelli",10748
"312-Avenida Callao",54486
"250-Viedma",51439
"250-Viedma",54885
"360-Orono",25388
"210-San Juan",27703
"383-Alto Bariloche",26889
"147-Cabildo",16664
"144-Martinez",12403
"147-Cabildo",14112
"160-Lavalle",27930
"282-Av. Fuerza Aerea",23203
"001-Areas Centrales",23
"383-Alto Bariloche",61718
"292-Bariloche Onelli",33581
"147-Cabildo",23923
"229-Trelew",30673
"311-Almagro",18741
"383-Alto Bariloche",30749
"255-Bariloche",28477
"107-Villa Devoto",53656
"357-Tres Arroyos",5005
"255-Bariloche",28387
"029-Villa Urquiza",132500
"345-Adrogue",25838
"311-Almagro",1263
"299-Viedma Centro",22996
"017-Palermo",53806
"010-Casa Central",37728
"265-Allen",26221
"265-Allen",28853
"265-Allen",50095
"292-Bariloche Onelli",36504
"367-Lamarque",9287
"263-El Bolsón",52036
"255-Bariloche",20217
"292-Bariloche Onelli",20538
"251-Cipolletti",47397
"255-Bariloche",93610
"316-Belgrano",93180
"220-Gral. Roca",21844
"146-Clinicas",9973
"323-Barrio Norte",26250
"060-Mendoza",48366
"146-Clinicas",68098
"220-Gral. Roca",24361
"265-Allen",35968
"251-Cipolletti",31510
"250-Viedma",42725
"263-El Bolsón",7358
"351-M del Plata-Luro",46360
"312-Avenida Callao",78912
"147-Cabildo",14190
"381-Jose C. Paz",19281
"323-Barrio Norte",17625
"255-Bariloche",16309
"250-Viedma",26533
"255-Bariloche",19467
"147-Cabildo",14565
"214-Posadas",7825
"252-S. Antonio Oeste",15358
"252-S. Antonio Oeste",35476
"252-S. Antonio Oeste",24942
"210-San Juan",14845
"217-Cdoro Rivadavia",78707
"070-Cordoba",40542
"010-Casa Central",27919
"250-Viedma",29692
"220-Gral. Roca",34881
"105-Tapiales",18142
"220-Gral. Roca",81127
"292-Bariloche Onelli",26229
"383-Alto Bariloche",18515
"200-Congreso",41378
"236-Liniers",62780
"042-San Justo",32686
"117-Malabia",1402
"292-Bariloche Onelli",36712
"128-Moron",54385
"250-Viedma",40640
"220-Gral. Roca",21770
"220-Gral. Roca",31702
"250-Viedma",17490
"103-Boedo",39224
"250-Viedma",8386
"223-Rio Gallegos",22108
"205-Mar del Plata",43588
"022-Flores",6085
"046-Avellaneda",38045
"103-Boedo",28454
"024-P. Centenario",1377
"282-Av. Fuerza Aerea",42950
"056-Pueyrredon",43490
"107-Villa Devoto",24840
"147-Cabildo",21801
"267-Puerto Deseado",32490
"250-Viedma",34696
"057-Pilar",14516
"250-Viedma",11821
"250-Viedma",41963
"018-Beiro",1
"143-San Miguel",21076
"264-Choele Choel",26272
"301-Neuquen Sur",31995
"205-Mar del Plata",39666
"299-Viedma Centro",60637
"288-Puerto Madryn",6302
"100-Microcentro",6257
"301-Neuquen Sur",13572
"383-Alto Bariloche",28232
"256-Cinco Saltos",39132
"381-Jose C. Paz",13120
"147-Cabildo",13549
"373-Gualeguaychu",57472
"323-Barrio Norte",24631
"250-Viedma",36707
"278-Roca Centro",65422
"056-Pueyrredon",18298
"296-Rosario Sur",44099
"250-Viedma",39528
"250-Viedma",10854
"250-Viedma",23310
"255-Bariloche",97614
"080-Rosario",5679
"220-Gral. Roca",2258
"220-Gral. Roca",148134
"060-Mendoza",26361
"291-Godoy Cruz",65822
"383-Alto Bariloche",29480
"317-Calle Tucuman",43314
"251-Cipolletti",88392
"290-Mar del Plata Pu",22384
"290-Mar del Plata Pu",22766
"312-Avenida Callao",76319
"104-Mataderos",24485
"292-Bariloche Onelli",8413
"212-Neuquen",35404
"272-Caleta Olivia",43015
"250-Viedma",51085
"217-Cdoro Rivadavia",145175
"147-Cabildo",20738
"351-M del Plata-Luro",7617
"376-Dep.Bridgestone Argentina",40898
"205-Mar del Plata",16368
"070-Cordoba",35280
"252-S. Antonio Oeste",14790
"341-Villa María",15125
"261-Ing. Jacobacci",29769
"261-Ing. Jacobacci",20876
"200-Congreso",46686
"257-Catriel",20925
"292-Bariloche Onelli",11413
"259-General Conesa",31131
"383-Alto Bariloche",34692
"208-Resistencia",4900
"255-Bariloche",18021
"292-Bariloche Onelli",2338
"147-Cabildo",18462
"326-San Isidro",101000
"264-Choele Choel",20574
"264-Choele Choel",27836
"264-Choele Choel",18003
"361-Carmen de Patagones",32429
"024-P. Centenario",6484
"315-Barracas",18673
"223-Rio Gallegos",36152
"208-Resistencia",114416
"278-Roca Centro",34692
"310-Suc. Catalinas",47050
"053-Bahia Blanca",16316
"049-Dardo Rocha",12242
"128-Moron",24454
"371-Colonia Caroya",13553
"272-Caleta Olivia",23924
"259-General Conesa",44730
"257-Catriel",35016
"253-Villa Regina",16848
"250-Viedma",49503
"017-Palermo",22990
"383-Alto Bariloche",8132
"283-Tandil",43615
"147-Cabildo",13387
"286-Villa Mercedes",45140
"292-Bariloche Onelli",47101
"160-Lavalle",20556
"200-Congreso",17977
"147-Cabildo",12464
"046-Avellaneda",6000
"309-Suc. Paso de los Libres",8717
"221-La Rioja",21160
"030-Libertador",75226
"045-San Nicolas",23733
"299-Viedma Centro",26136
"299-Viedma Centro",15845
"299-Viedma Centro",35837
"253-Villa Regina",24985
"224-Catamarca",11456
"255-Bariloche",35157
"263-El Bolsón",28306
"256-Cinco Saltos",40227
"250-Viedma",70987
"131-Quilmes",34063
"303-Cipolletti Esmeralda",28656
"250-Viedma",66185
"250-Viedma",15184
"256-Cinco Saltos",34692
"255-Bariloche",32984
"147-Cabildo",9706
"278-Roca Centro",71621
"263-El Bolsón",40550
"323-Barrio Norte",33607
"103-Boedo",29502
"030-Libertador",14505
"701-ALTA RENTA PERON",276656
"263-El Bolsón",51723
"701-ALTA RENTA PERON",96740
"317-Calle Tucuman",24771
"043-Tigre",60075
"265-Allen",40884
"103-Boedo",32441
"312-Avenida Callao",56408
"220-Gral. Roca",11798
"255-Bariloche",27793
"210-San Juan",34222
"220-Gral. Roca",13170
"220-Gral. Roca",7616
"326-San Isidro",80455
"100-Microcentro",12999
"225-San Luis",20000
"300-Mendoza Barrio Civico",12605
"147-Cabildo",12125
"323-Barrio Norte",30753
"103-Boedo",43867
"299-Viedma Centro",30571
"379-San Lorenzo",16559
"024-P. Centenario",1471
"259-General Conesa",53356
"299-Viedma Centro",43734
"361-Carmen de Patagones",39465
"285-Formosa",60157
"255-Bariloche",23385
"022-Flores",5000
"292-Bariloche Onelli",115095
"056-Pueyrredon",17895
"256-Cinco Saltos",33754
"225-San Luis",6866
"104-Mataderos",23703
"104-Mataderos",20496
"010-Casa Central",77280
"287-Punta Alta",23209
"292-Bariloche Onelli",24331
"264-Choele Choel",37225
"261-Ing. Jacobacci",17334
"338-Gral. Pico",18347
"275-Esquel",51588
"273-V. La Angostura",24097
"333-Ramos Mejia",2574
"042-San Justo",32350
"147-Cabildo",16443
"252-S. Antonio Oeste",21860
"252-S. Antonio Oeste",20656
"252-S. Antonio Oeste",20635
"292-Bariloche Onelli",20242
"253-Villa Regina",40083
"315-Barracas",1253
"348-Caseros",18439
"251-Cipolletti",36325
"303-Cipolletti Esmeralda",26223
"261-Ing. Jacobacci",17348
"250-Viedma",172779
"383-Alto Bariloche",50221
"220-Gral. Roca",57547
"250-Viedma",60294
"220-Gral. Roca",19528
"326-San Isidro",54400
"310-Suc. Catalinas",43873
"255-Bariloche",20159
"142-Lanus Oeste",16700
"292-Bariloche Onelli",30085
"383-Alto Bariloche",45128
"057-Pilar",1575
"303-Cipolletti Esmeralda",31117
"251-Cipolletti",30629
"100-Microcentro",17784
"265-Allen",48393
"250-Viedma",14796
"361-Carmen de Patagones",19037
"299-Viedma Centro",33866
"128-Moron",24237
"265-Allen",48166
"265-Allen",16327
"258-Río Colorado",22307
"119-Once",24250
"210-San Juan",8930
"147-Cabildo",14611
"293-Calafate",8800
"361-Carmen de Patagones",27174
"361-Carmen de Patagones",29027
"361-Carmen de Patagones",137916
"229-Trelew",21700
"255-Bariloche",43691
"147-Cabildo",17020
"010-Casa Central",16526
"250-Viedma",75925
"351-M del Plata-Luro",14496
"143-San Miguel",33093
"264-Choele Choel",95538
"301-Neuquen Sur",34922
"046-Avellaneda",20510
"263-El Bolsón",104638
"119-Once",33625
"357-Tres Arroyos",1791
"147-Cabildo",16670
"112-Alvarez Jonte",41899
"131-Quilmes",12738
"281-Rio Grande",27626
"030-Libertador",16086
"128-Moron",26549
"310-Suc. Catalinas",10627
"024-P. Centenario",35714
"286-Villa Mercedes",43846
"294-Sierra Grande",11037
"361-Carmen de Patagones",25457
"265-Allen",7930
"147-Cabildo",12922
"324-Calle Florida",35896
"234-Lanus Este",21827
"253-Villa Regina",33431
"289-Rincon de los Sa",74968
"348-Caseros",13166
"147-Cabildo",22958
"100-Microcentro",505
"263-El Bolsón",21599
"250-Viedma",69904
"142-Lanus Oeste",15496
"367-Lamarque",11605
"080-Rosario",14141
"251-Cipolletti",6745
"351-M del Plata-Luro",114372
"376-Dep.Bridgestone Argentina",52962
"040-Monte Grande",13348
"147-Cabildo",9610
"143-San Miguel",26666
"051-Escobar",21165
"255-Bariloche",104547
"220-Gral. Roca",6558
"288-Puerto Madryn",25917
"351-M del Plata-Luro",7260
"100-Microcentro",19028
"100-Microcentro",63890
"100-Microcentro",32990
"023-Irigoyen",38570
"060-Mendoza",72650
"250-Viedma",40759
"250-Viedma",29106
"250-Viedma",36203
"250-Viedma",44360
"250-Viedma",11381
"361-Carmen de Patagones",31299
"045-San Nicolas",34016
